episode,reward,revenue,profit
45,306429.7465922366,921087.4104618729,368434.9641847487
46,306429.7465922366,921087.4104618729,368434.9641847487
47,307269.3844866496,920957.009920326,368382.8039681299
48,306429.7465922366,921087.4104618729,368434.9641847487
49,306280.5217850133,920621.0829392999,368248.4331757195
50,306429.7465922366,921087.4104618729,368434.9641847487
51,306429.7465922366,921087.4104618729,368434.9641847487
52,306429.7465922366,921087.4104618729,368434.9641847487
53,305762.9073633621,919229.4834352088,367691.79337408306
54,306429.7465922366,921087.4104618729,368434.9641847487
55,306429.7465922366,921087.4104618729,368434.9641847487
56,306429.7465922366,921087.4104618729,368434.9641847487
57,306429.7465922366,921087.4104618729,368434.9641847487
58,306429.7465922366,921087.4104618729,368434.9641847487
59,306429.7465922366,921087.4104618729,368434.9641847487
60,306810.16179351666,922276.2079658728,368910.48318634875
61,306429.7465922366,921087.4104618729,368434.9641847487
62,305985.1272806881,922438.9642092037,368975.5856836811
63,306429.7465922366,921087.4104618729,368434.9641847487
64,306429.7465922366,921087.4104618729,368434.9641847487
65,306429.7465922366,921087.4104618729,368434.9641847487
66,306429.7465922366,921087.4104618729,368434.9641847487
67,303226.7094412186,918380.31041671,367352.1241666835
68,306654.60110413906,920452.6839593288,368181.07358373114
69,306429.7465922366,921087.4104618729,368434.9641847487
70,306429.7465922366,921087.4104618729,368434.9641847487
71,306429.7465922366,921087.4104618729,368434.9641847487
72,307663.9990051943,923242.3664837494,369296.9465934994
73,306429.7465922366,921087.4104618729,368434.9641847487
74,306429.7465922366,921087.4104618729,368434.9641847487
75,306068.3213467,919957.956569571,367983.182627828
76,306429.7465922366,921087.4104618729,368434.9641847487
77,306429.7465922366,921087.4104618729,368434.9641847487
78,306429.7465922366,921087.4104618729,368434.9641847487
79,313027.7640486878,924139.8418868213,369655.9367547282
80,306520.7859462038,921371.9084430201,368548.7633772076
81,306164.3989456511,921444.4509919804,368577.78039679176
82,306429.7465922366,921087.4104618729,368434.9641847487
83,306429.7465922366,921087.4104618729,368434.9641847487
84,306429.7465922366,921087.4104618729,368434.9641847487
85,306286.1353009941,922532.774614578,369013.1098458307
86,306717.94746147,920334.4752028637,368133.79008114495
87,306429.7465922366,921087.4104618729,368434.9641847487
88,306640.2043906317,919207.3995428653,367682.9598171457
89,306429.7465922366,921087.4104618729,368434.9641847487
90,306429.7465922366,921087.4104618729,368434.9641847487
91,305791.9958002916,927974.9874964841,371189.99499859323
92,311797.36330256617,923750.8315119486,369500.33260477916
93,301175.09167556715,915987.9125398898,366395.16501595546
94,306429.7465922366,921087.4104618729,368434.9641847487
95,306429.7465922366,921087.4104618729,368434.9641847487
96,306429.7465922366,921087.4104618729,368434.9641847487
97,306429.7465922366,921087.4104618729,368434.9641847487
98,306429.7465922366,921087.4104618729,368434.9641847487
99,306429.7465922366,921087.4104618729,368434.9641847487
100,306429.7465922366,921087.4104618729,368434.9641847487
101,306429.7465922366,921087.4104618729,368434.9641847487
102,306429.7465922366,921087.4104618729,368434.9641847487
103,306429.7465922366,921087.4104618729,368434.9641847487
104,306429.7465922366,921087.4104618729,368434.9641847487
105,306429.7465922366,921087.4104618729,368434.9641847487
106,306429.7465922366,921087.4104618729,368434.9641847487
107,313726.2131366579,922797.6140466788,369119.04561867117
108,306429.7465922366,921087.4104618729,368434.9641847487
109,306429.7465922366,921087.4104618729,368434.9641847487
110,306429.7465922366,921087.4104618729,368434.9641847487
111,306429.7465922366,921087.4104618729,368434.9641847487
112,306429.7465922366,921087.4104618729,368434.9641847487
113,307651.9561215614,923204.7324723967,369281.8929889583
114,306429.7465922366,921087.4104618729,368434.9641847487
115,306429.7465922366,921087.4104618729,368434.9641847487
116,306429.7465922366,921087.4104618729,368434.9641847487
117,306429.7465922366,921087.4104618729,368434.9641847487
118,308213.17200619925,924958.5321118898,369983.4128447555
119,306429.7465922366,921087.4104618729,368434.9641847487
120,306429.7465922366,921087.4104618729,368434.9641847487
121,306244.4050432366,920508.2181212478,368203.28724849864
122,306567.7792836907,923412.9120605051,369365.1648242016
123,306429.7465922366,921087.4104618729,368434.9641847487
124,306429.7465922366,921087.4104618729,368434.9641847487
125,306687.31182960054,920569.6672235483,368227.8668894189
126,306429.7465922366,921087.4104618729,368434.9641847487
127,307062.1792836907,924957.9120605051,369983.1648242016
128,306429.7465922366,921087.4104618729,368434.9641847487
129,306377.2373813006,919435.7577270985,367774.303090839
130,311911.5457993786,924107.6518144874,369643.0607257947
131,306429.7465922366,921087.4104618729,368434.9641847487
132,306429.7465922366,921087.4104618729,368434.9641847487
133,306429.7465922366,921087.4104618729,368434.9641847487
134,306375.5568227182,920918.0674321278,368367.2269728507
135,306886.9782137812,922516.2592791996,369006.5037116794
136,306429.7465922366,921087.4104618729,368434.9641847487
137,307004.26853673364,921265.0296018414,368506.01184073614
138,306429.7465922366,921087.4104618729,368434.9641847487
139,306338.73429707583,920802.9970394955,368321.19881579775
140,302187.2142650239,917225.8693164338,366890.34772657306
141,306429.7465922366,921087.4104618729,368434.9641847487
142,306230.70201272046,920465.396150885,368186.1584603535
143,306884.4854081184,919882.6220651575,367953.0488260626
144,306429.7465922366,921087.4104618729,368434.9641847487
145,312927.7971144168,925239.0204711276,370095.6081884507
146,312325.79434815206,925402.1785294049,370160.87141176156
147,307748.26097660995,925207.7679130393,370083.10716521525
148,306429.7465922366,921087.4104618729,368434.9641847487
149,311787.8837007413,923721.2077562459,369488.48310249805
150,306429.7465922366,921087.4104618729,368434.9641847487
151,306429.7465922366,921087.4104618729,368434.9641847487
152,306684.0723131274,921882.1783396564,368752.87133586215
153,306336.1772398757,920795.0062357452,368318.0024942976
154,298414.4688159583,915081.9835613474,366032.7934245385
155,307283.0814885057,922277.9448076662,368911.17792306613
156,306882.88201308186,922503.4586520141,369001.38346080517
157,306429.7465922366,921087.4104618729,368434.9641847487
158,306429.7465922366,921087.4104618729,368434.9641847487
159,306429.7465922366,921087.4104618729,368434.9641847487
160,306166.2583090637,917856.0446262839,367142.4178505132
161,306429.7465922366,921087.4104618729,368434.9641847487
162,306429.7465922366,921087.4104618729,368434.9641847487
163,305926.6792325965,924150.4634967557,369660.18539870187
164,306429.7465922366,921087.4104618729,368434.9641847487
165,306287.9495437094,920644.2946852255,368257.71787408966
166,306429.7465922366,921087.4104618729,368434.9641847487
167,306429.7465922366,921087.4104618729,368434.9641847487
168,306429.7465922366,921087.4104618729,368434.9641847487
169,306429.7465922366,921087.4104618729,368434.9641847487
170,312909.7857906386,922786.2309681427,369114.4923872568
171,306128.71577386145,920032.5495077778,368013.0198031107
172,306429.7465922366,921087.4104618729,368434.9641847487
173,306886.9782137812,922516.2592791996,369006.5037116794
174,306567.7792836907,923412.9120605051,369365.1648242016
175,306429.7465922366,921087.4104618729,368434.9641847487
176,306546.779606815,921453.1386324305,368581.25545297173
177,306226.3184860916,920451.6976301698,368180.67905206745
178,298920.14211919595,913610.1477044306,365444.05908177176
179,306429.7465922366,921087.4104618729,368434.9641847487
180,306429.7465922366,921087.4104618729,368434.9641847487
181,306429.7465922366,921087.4104618729,368434.9641847487
182,306679.14802947553,924607.7790491641,369843.11161966535
183,313726.2131366579,922797.6140466788,369119.04561867117
184,312927.7971144168,925239.0204711276,370095.6081884507
185,305709.22992255905,921576.7849650506,368630.7139860198
186,306429.7465922366,921087.4104618729,368434.9641847487
187,306429.7465922366,921087.4104618729,368434.9641847487
188,307641.13047010516,918627.9106463596,367451.1642585434
189,306429.7465922366,921087.4104618729,368434.9641847487
190,306429.7465922366,921087.4104618729,368434.9641847487
191,306429.7465922366,921087.4104618729,368434.9641847487
192,306495.1317122366,921291.7389618729,368516.6955847487
193,306947.2481772856,924598.7523529893,369839.50094119523
194,306005.3772835654,922502.2454681955,369000.8981872778
195,307083.2637772087,925023.8011027491,370009.5204410992
196,306429.7465922366,921087.4104618729,368434.9641847487
197,306429.7465922366,921087.4104618729,368434.9641847487
198,306429.7465922366,921087.4104618729,368434.9641847487
199,306429.7465922366,921087.4104618729,368434.9641847487
200,306429.7465922366,921087.4104618729,368434.9641847487
201,306429.7465922366,921087.4104618729,368434.9641847487
202,298815.00231209194,913471.7010488684,365388.6804195469
203,306429.7465922366,921087.4104618729,368434.9641847487
204,306235.91792404145,920481.6958737628,368192.6783495047
205,306429.7465922366,921087.4104618729,368434.9641847487
206,311797.36330256617,923750.8315119486,369500.33260477916
207,306429.7465922366,921087.4104618729,368434.9641847487
208,306429.7465922366,921087.4104618729,368434.9641847487
209,299004.05589505803,913064.2414033241,365225.6965613291
210,306429.7465922366,921087.4104618729,368434.9641847487
211,306429.7465922366,921087.4104618729,368434.9641847487
212,311671.6661274648,923358.0278397569,369343.21113590244
213,306311.1986971001,920716.9482895711,368286.779315828
214,306429.7465922366,921087.4104618729,368434.9641847487
215,306754.0614592585,919952.7472120556,367981.0988848218
216,306429.7465922366,921087.4104618729,368434.9641847487
217,305970.9260549745,922394.5853788488,368957.8341515392
218,306137.4005452267,922914.8181608871,369165.9272643544
219,307062.1792836907,924957.9120605051,369983.1648242016
220,306429.7465922366,921087.4104618729,368434.9641847487
221,306429.7465922366,921087.4104618729,368434.9641847487
222,305985.1272806881,922438.9642092037,368975.5856836811
223,306429.7465922366,921087.4104618729,368434.9641847487
224,306215.6843751958,920418.4660336204,368167.3864134477
225,306429.7465922366,921087.4104618729,368434.9641847487
226,306429.7465922366,921087.4104618729,368434.9641847487
227,306429.7465922366,921087.4104618729,368434.9641847487
228,306429.7465922366,921087.4104618729,368434.9641847487
229,306429.7465922366,921087.4104618729,368434.9641847487
230,306429.7465922366,921087.4104618729,368434.9641847487
231,305988.5352574855,915766.7341404558,366306.69365618203
232,306429.7465922366,921087.4104618729,368434.9641847487
233,306429.7465922366,921087.4104618729,368434.9641847487
234,306429.7465922366,921087.4104618729,368434.9641847487
235,306429.7465922366,921087.4104618729,368434.9641847487
236,306429.7465922366,921087.4104618729,368434.9641847487
237,306429.7465922366,921087.4104618729,368434.9641847487
238,306429.7465922366,921087.4104618729,368434.9641847487
239,302386.60816021037,917724.3540543998,367089.74162175943
240,306429.7465922366,921087.4104618729,368434.9641847487
241,306280.5217850133,920621.0829392999,368248.4331757195
242,306429.7465922366,921087.4104618729,368434.9641847487
243,306429.7465922366,921087.4104618729,368434.9641847487
244,306156.48919380404,921419.7330174585,368567.89320698293
245,306429.7465922366,921087.4104618729,368434.9641847487
246,306301.1631444578,920685.5871875642,368274.2348750252
247,306429.7465922366,921087.4104618729,368434.9641847487
248,306429.7465922366,921087.4104618729,368434.9641847487
249,306429.7465922366,921087.4104618729,368434.9641847487
250,306429.7465922366,921087.4104618729,368434.9641847487
251,306429.7465922366,921087.4104618729,368434.9641847487
252,306429.7465922366,921087.4104618729,368434.9641847487
253,306429.7465922366,921087.4104618729,368434.9641847487
254,307785.97200619924,923623.5321118898,369449.4128447555
255,306429.7465922366,921087.4104618729,368434.9641847487
256,312576.9541886998,926187.0530311164,370474.8212124462
257,306429.7465922366,921087.4104618729,368434.9641847487
258,307748.26097660995,925207.7679130393,370083.10716521525
259,306280.5217850133,920621.0829392999,368248.4331757195
260,306429.7465922366,921087.4104618729,368434.9641847487
261,306495.3601506828,921192.065487113,368476.82619484473
262,306429.7465922366,921087.4104618729,368434.9641847487
263,306429.7465922366,921087.4104618729,368434.9641847487
264,306429.7465922366,921087.4104618729,368434.9641847487
265,306429.7465922366,921087.4104618729,368434.9641847487
266,306429.7465922366,921087.4104618729,368434.9641847487
267,306429.7465922366,921087.4104618729,368434.9641847487
268,306429.7465922366,921087.4104618729,368434.9641847487
269,298160.003988023,911712.2909904146,364684.9163961653
270,306429.7465922366,921087.4104618729,368434.9641847487
271,306429.7465922366,921087.4104618729,368434.9641847487
272,306429.7465922366,921087.4104618729,368434.9641847487
273,305869.6781527488,919337.1965884734,367734.8786353889
274,306886.9782137812,922516.2592791996,369006.5037116794
275,306429.7465922366,921087.4104618729,368434.9641847487
276,306429.7465922366,921087.4104618729,368434.9641847487
277,306005.3772835654,922502.2454681955,369000.8981872778
278,305801.9378064423,919125.5080062659,367650.2032025059
279,306429.7465922366,921087.4104618729,368434.9641847487
280,306429.7465922366,921087.4104618729,368434.9641847487
281,306640.2043906317,919207.3995428653,367682.9598171457
282,306429.7465922366,921087.4104618729,368434.9641847487
283,307682.7877579817,923301.0813362099,369320.4325344836
284,306429.7465922366,921087.4104618729,368434.9641847487
285,306429.7465922366,921087.4104618729,368434.9641847487
286,306909.7465922366,922587.4104618729,369034.9641847487
287,306429.7465922366,921087.4104618729,368434.9641847487
288,311787.8837007413,923721.2077562459,369488.48310249805
289,306429.7465922366,921087.4104618729,368434.9641847487
290,307976.2709885833,922070.0692225794,368828.0276890314
291,306429.7465922366,921087.4104618729,368434.9641847487
292,306429.7465922366,921087.4104618729,368434.9641847487
293,306429.7465922366,921087.4104618729,368434.9641847487
294,307594.9792836906,926622.9120605051,370649.1648242016
295,306429.7465922366,921087.4104618729,368434.9641847487
296,306429.7465922366,921087.4104618729,368434.9641847487
297,306311.40011781146,923458.5668252141,369383.4267300853
298,306047.18019653956,921078.142401007,368431.25696040236
299,306074.2973221165,922717.6205886675,369087.04823546665
