,Total Revenue,Total Profit,Avg Price,Avg Sales
RL Agent,456492.118952762,182596.84758110472,60.55779040384615,150.68402996330664
Fixed Price,440900.42174720013,176360.16869888004,100.0,84.78854264369231
Competitive,396829.94583753234,158731.97833501306,198.05769230769232,38.84252211488941
